# A1 - Starter Level Words (CEFR A1)
# Format: english|category|partOfSpeech
# Most basic everyday vocabulary for absolute beginners

# Actions
accept|Actions|verb
add|Actions|verb
agree|Actions|verb
allow|Actions|verb
answer|Actions|verb
arrive|Actions|verb
ask|Actions|verb
attack|Actions|verb
begin|Actions|verb
belong|Actions|verb
be|Actions|verb
blow|Actions|verb
born|Actions|verb
borrow|Actions|verb
break|Actions|verb
bring|Actions|verb
build|Actions|verb
burn|Actions|verb
buy|Actions|verb
call|Actions|verb
carry|Actions|verb
catch|Actions|verb
celebrate|Actions|verb
change|Actions|verb
check|Actions|verb
choose|Actions|verb
clean|Actions|verb
climb|Actions|verb
close|Actions|verb
collect|Actions|verb
come|Actions|verb
compare|Actions|verb
complete|Actions|verb
continue|Actions|verb
cook|Actions|verb
count|Actions|verb
cross|Actions|verb
cry|Actions|verb
cut|Actions|verb
dance|Actions|verb
decide|Actions|verb
decrease|Actions|verb
deliver|Actions|verb
describe|Actions|verb
develop|Actions|verb
die|Actions|verb
dig|Actions|verb
discover|Actions|verb
do|Actions|verb
draw|Actions|verb
drink|Actions|verb
drive|Actions|verb
drop|Actions|verb
dry|Actions|verb
eat|Actions|verb
empty|Actions|verb
enjoy|Actions|verb
enter|Actions|verb
escape|Actions|verb
exit|Actions|verb
experience|Actions|verb
explain|Actions|verb
express|Actions|verb
fail|Actions|verb
fall|Actions|verb
feed|Actions|verb
feel|Actions|verb
fight|Actions|verb
fill|Actions|verb
find|Actions|verb
finish|Actions|verb
fix|Actions|verb
follow|Actions|verb
forget|Actions|verb
get up|Actions|verb
get|Actions|verb
give|Actions|verb
go|Actions|verb
grow|Actions|verb
hang|Actions|verb
hate|Actions|verb
have|Actions|verb
hear|Actions|verb
help|Actions|verb
hide|Actions|verb
hit|Actions|verb
hold|Actions|verb
hope|Actions|verb
hurry|Actions|verb
imagine|Actions|verb
improve|Actions|verb
include|Actions|verb
increase|Actions|verb
invite|Actions|verb
join|Actions|verb
jump|Actions|verb
kick|Actions|verb
knock|Actions|verb
know|Actions|verb
laugh|Actions|verb
learn|Actions|verb
leave|Actions|verb
lend|Actions|verb
lie down|Actions|verb
like|Actions|verb
listen|Actions|verb
live|Actions|verb
load|Actions|verb
look|Actions|verb
lose|Actions|verb
love|Actions|verb
make|Actions|verb
meet|Actions|verb
mix|Actions|verb
move|Actions|verb
need|Actions|verb
open|Actions|verb
pack|Actions|verb
paint|Actions|verb
pass|Actions|verb
pay|Actions|verb
pick up|Actions|verb
play|Actions|verb
pour|Actions|verb
practice|Actions|verb
prepare|Actions|verb
press|Actions|verb
promise|Actions|verb
protect|Actions|verb
pull|Actions|verb
push|Actions|verb
put down|Actions|verb
put|Actions|verb
raise|Actions|verb
reach|Actions|verb
read|Actions|verb
receive|Actions|verb
reduce|Actions|verb
refuse|Actions|verb
reject|Actions|verb
relax|Actions|verb
remember|Actions|verb
remove|Actions|verb
rent|Actions|verb
repeat|Actions|verb
replace|Actions|verb
require|Actions|verb
rescue|Actions|verb
return|Actions|verb
ride|Actions|verb
run|Actions|verb
save|Actions|verb
say|Actions|verb
search|Actions|verb
see|Actions|verb
sell|Actions|verb
send|Actions|verb
serve|Actions|verb
shake|Actions|verb
share|Actions|verb
shine|Actions|verb
show|Actions|verb
sing|Actions|verb
sit down|Actions|verb
sit|Actions|verb
sleep|Actions|verb
smell|Actions|verb
smile|Actions|verb
speak|Actions|verb
spell|Actions|verb
spend|Actions|verb
stand up|Actions|verb
stand|Actions|verb
start|Actions|verb
stay|Actions|verb
stop|Actions|verb
