# A2 - Elementary Level Words (CEFR A2)
# Format: english|category|partOfSpeech
# Elementary vocabulary building on A1 basics
# Extended Greetings & Social
farewell|Greetings|noun
regards|Greetings|noun
pleasure|Greetings|noun
introduction|Greetings|noun
handshake|Greetings|noun
bow|Greetings|noun
applause|Greetings|noun
respect|Greetings|noun
apology|Greetings|noun
invitation|Greetings|noun
appreciation|Greetings|noun
gratitude|Greetings|noun
celebration|Greetings|noun
ceremony|Greetings|noun
reception|Greetings|noun
# Extended Family & Relationships
relative|Family|noun
stepmother|Family|noun
stepfather|Family|noun
mother-in-law|Family|noun
father-in-law|Family|noun
son-in-law|Family|noun
daughter-in-law|Family|noun
godfather|Family|noun
godmother|Family|noun
orphan|Family|noun
widow|Family|noun
teenager|Family|noun
adult|Family|noun
elderly|Family|adjective
generation|Family|noun
ancestor|Family|noun
descendant|Family|noun
relationship|Family|noun
engagement|Family|noun
wedding|Family|noun
divorce|Family|noun
birth|Family|noun
funeral|Family|noun
childhood|Family|noun
youth|Family|noun
middle age|Family|noun
# Extended Body & Health
forehead|Body|noun
cheek|Body|noun
chin|Body|noun
eyebrow|Body|noun
eyelash|Body|noun
jaw|Body|noun
beard|Body|noun
mustache|Body|noun
wrist|Body|noun
palm|Body|noun
ankle|Body|noun
toe|Body|noun
heel|Body|noun
hip|Body|noun
waist|Body|noun
rib|Body|noun
muscle|Body|noun
nerve|Body|noun
vein|Body|noun
brain|Body|noun
lung|Body|noun
liver|Body|noun
kidney|Body|noun
skull|Body|noun
spine|Body|noun
# Extended Animals
crocodile|Animals|noun
hippopotamus|Animals|noun
giraffe|Animals|noun
zebra|Animals|noun
camel|Animals|noun
penguin|Animals|noun
dolphin|Animals|noun
seal|Animals|noun
octopus|Animals|noun
crab|Animals|noun
snail|Animals|noun
worm|Animals|noun
bat|Animals|noun
hamster|Animals|noun
guinea pig|Animals|noun
goldfish|Animals|noun
puppy|Animals|noun
kitten|Animals|noun
lamb|Animals|noun
calf|Animals|noun
foal|Animals|noun
chick|Animals|noun
rooster|Animals|noun
goose|Animals|noun
turkey|Animals|noun
pigeon|Animals|noun
crow|Animals|noun
sparrow|Animals|noun
swan|Animals|noun
peacock|Animals|noun
stork|Animals|noun
hawk|Animals|noun
squirrel|Animals|noun
hedgehog|Animals|noun
mole|Animals|noun
rat|Animals|noun
leopard|Animals|noun
panther|Animals|noun
rhinoceros|Animals|noun
gorilla|Animals|noun
chimpanzee|Animals|noun
kangaroo|Animals|noun
koala|Animals|noun
panda|Animals|noun
polar bear|Animals|noun
lizard|Animals|noun
scorpion|Animals|noun
mosquito|Animals|noun
cockroach|Animals|noun
beetle|Animals|noun
dragonfly|Animals|noun
caterpillar|Animals|noun
ladybug|Animals|noun
grasshopper|Animals|noun
# Extended Food & Cooking
recipe|Food|noun
ingredient|Food|noun
meal|Food|noun
breakfast|Food|noun
lunch|Food|noun
dinner|Food|noun
snack|Food|noun
dessert|Food|noun
appetizer|Food|noun
portion|Food|noun
taste|Food|noun
flavor|Food|noun
spice|Food|noun
herb|Food|noun
cinnamon|Food|noun
parsley|Food|noun
basil|Food|noun
dill|Food|noun
mint|Food|noun
thyme|Food|noun
rosemary|Food|noun
grill|Food|noun
barbecue|Food|noun
steak|Food|noun
roast|Food|noun
boil|Food|verb
fry|Food|verb
bake|Food|verb
steam|Food|verb
microwave|Food|noun
blender|Food|noun
toaster|Food|noun
kettle|Food|noun
pan|Food|noun
saucepan|Food|noun
pot|Food|noun
lid|Food|noun
tray|Food|noun
apron|Food|noun
noodle|Food|noun
dumpling|Food|noun
pancake|Food|noun
waffle|Food|noun
pie|Food|noun
pastry|Food|noun
doughnut|Food|noun
muffin|Food|noun
bread roll|Food|noun
toast|Food|noun
cracker|Food|noun
popcorn|Food|noun
