# B2 - Upper Intermediate Level Words (CEFR B2)
# Format: english|category|partOfSpeech
# Upper intermediate vocabulary for fluent communication
# Academic & Intellectual
abolish|General|verb
abstain|General|verb
abstract|General|adjective
abundance|General|noun
accelerate|General|verb
accommodate|General|verb
accumulate|General|verb
acknowledge|General|verb
acquisition|General|noun
adequate|General|adjective
adjacent|General|adjective
administer|General|verb
adolescent|General|noun
advocate|General|verb
affiliation|General|noun
aggregate|General|noun
allegation|General|noun
allocate|General|verb
ambiguity|General|noun
analogy|General|noun
anonymous|General|adjective
apparatus|General|noun
arbitrary|General|adjective
articulate|General|adjective
assertion|General|noun
attribute|General|noun
authentic|General|adjective
autonomy|General|noun
bias|General|noun
bureaucracy|General|noun
catastrophe|General|noun
cease|General|verb
chronic|General|adjective
coherent|General|adjective
coincide|General|verb
collaborate|General|verb
compensate|General|verb
compile|General|verb
complement|General|verb
comply|General|verb
comprehend|General|verb
compulsory|General|adjective
conceive|General|verb
concurrent|General|adjective
confine|General|verb
conform|General|verb
consensus|General|noun
consolidate|General|verb
constitute|General|verb
constraint|General|noun
contemplate|General|verb
contradict|General|verb
controversy|General|noun
corrupt|General|adjective
credible|General|adjective
criterion|General|noun
cultivate|General|verb
cumulative|General|adjective
debate|General|noun
decisive|General|adjective
deficiency|General|noun
deliberate|General|adjective
demographic|General|adjective
denounce|General|verb
depict|General|verb
deploy|General|verb
deprive|General|verb
designate|General|verb
deteriorate|General|verb
devise|General|verb
diminish|General|verb
discrepancy|General|noun
discretion|General|noun
discrimination|General|noun
displacement|General|noun
dispute|General|noun
disrupt|General|verb
disseminate|General|verb
distort|General|verb
doctrine|General|noun
domain|General|noun
dominant|General|adjective
duration|General|noun
dynamic|General|adjective
elaborate|General|adjective
empirical|General|adjective
encompass|General|verb
endorse|General|verb
enforce|General|verb
entity|General|noun
equip|General|verb
erode|General|verb
ethical|General|adjective
evoke|General|verb
exaggerate|General|verb
exceed|General|verb
excerpt|General|noun
execute|General|verb
exempt|General|adjective
exert|General|verb
explicit|General|adjective
exploit|General|verb
extract|General|noun
fabricate|General|verb
faction|General|noun
feasible|General|adjective
finite|General|adjective
fluctuate|General|verb
formulate|General|verb
fragment|General|noun
framework|General|noun
friction|General|noun
function|General|verb
fundamental|General|adjective
generic|General|adjective
genuine|General|adjective
grief|General|noun
hierarchy|General|noun
hypothesis|General|noun
ideology|General|noun
imminent|General|adjective
immune|General|adjective
implicit|General|adjective
impose|General|verb
incentive|General|noun
incidence|General|noun
incorporate|General|verb
index|General|noun
induce|General|verb
inference|General|noun
infrastructure|General|noun
integral|General|adjective
integrity|General|noun
intervene|General|verb
invoke|General|verb
jurisdiction|General|noun
legitimate|General|adjective
leverage|General|noun
liberal|General|adjective
likewise|General|adverb
magnitude|General|noun
