# C1 - Advanced Level Words (CEFR C1)
# Format: english|category|partOfSpeech
# Advanced vocabulary for academic and professional contexts
# Advanced Academic & Formal
aberration|General|noun
abolition|General|noun
abstraction|General|noun
accolade|General|noun
acumen|General|noun
adherent|General|noun
adjunct|General|noun
admonish|General|verb
adversary|General|noun
adversity|General|noun
aesthetic|General|adjective
affinity|General|noun
affluent|General|adjective
aggravate|General|verb
alleviate|General|verb
allusion|General|noun
altruism|General|noun
amalgamate|General|verb
ameliorate|General|verb
amicable|General|adjective
anomaly|General|noun
antagonist|General|noun
apathy|General|noun
appease|General|verb
archaic|General|adjective
arduous|General|adjective
aspiration|General|noun
assimilate|General|verb
atrocity|General|noun
attain|General|verb
augment|General|verb
austere|General|adjective
aversion|General|noun
belligerent|General|adjective
benevolent|General|adjective
bequest|General|noun
bilateral|General|adjective
brevity|General|noun
bureaucratic|General|adjective
candid|General|adjective
capitulate|General|verb
catalyst|General|noun
caustic|General|adjective
cede|General|verb
circumvent|General|verb
clandestine|General|adjective
coerce|General|verb
cognition|General|noun
collateral|General|noun
collusion|General|noun
commandeer|General|verb
commensurate|General|adjective
compelling|General|adjective
competence|General|noun
complication|General|noun
comply|General|verb
concealment|General|noun
concession|General|noun
conducive|General|adjective
confiscate|General|verb
connotation|General|noun
consolidation|General|noun
conspicuous|General|adjective
constituency|General|noun
contempt|General|noun
contention|General|noun
contingent|General|adjective
contravene|General|verb
converge|General|verb
conviction|General|noun
corroborate|General|verb
counterfeit|General|adjective
covert|General|adjective
credibility|General|noun
culmination|General|noun
curtail|General|verb
cynical|General|adjective
debacle|General|noun
decorum|General|noun
deference|General|noun
delineate|General|verb
demeanor|General|noun
denote|General|verb
deprecate|General|verb
derelict|General|adjective
detrimental|General|adjective
dexterity|General|noun
dichotomy|General|noun
didactic|General|adjective
digress|General|verb
diligent|General|adjective
discern|General|verb
discourse|General|noun
dispatch|General|verb
disparity|General|noun
disposition|General|noun
dissent|General|noun
dissolve|General|verb
diverge|General|verb
divulge|General|verb
dogma|General|noun
dormant|General|adjective
dubious|General|adjective
eclectic|General|adjective
efficacy|General|noun
elicit|General|verb
eloquent|General|adjective
emancipation|General|noun
embark|General|verb
embody|General|verb
empirical|General|adjective
emulate|General|verb
endow|General|verb
engender|General|verb
enigma|General|noun
entail|General|verb
enumerate|General|verb
epitome|General|noun
equitable|General|adjective
eradicate|General|verb
erroneous|General|adjective
espionage|General|noun
esteem|General|noun
exacerbate|General|verb
exemplify|General|verb
exonerate|General|verb
expedite|General|verb
extravagant|General|adjective
facade|General|noun
facet|General|noun
fallacy|General|noun
fervent|General|adjective
fiscal|General|adjective
flagrant|General|adjective
flawed|General|adjective
foresight|General|noun
formidable|General|adjective
fortify|General|verb
foster|General|verb
frivolous|General|adjective
futile|General|adjective
galvanize|General|verb
genesis|General|noun
gratuitous|General|adjective
gregarious|General|adjective
grievance|General|noun
hamper|General|verb
harbinger|General|noun
havoc|General|noun
hegemony|General|noun
heresy|General|noun
hindrance|General|noun
holistic|General|adjective
homogeneous|General|adjective
humanitarian|General|adjective
humility|General|noun
hypocrisy|General|noun
idiosyncratic|General|adjective
illicit|General|adjective
immerse|General|verb
immutable|General|adjective
impartial|General|adjective
impasse|General|noun
impede|General|verb
imperative|General|adjective
impetus|General|noun
implicate|General|verb
impromptu|General|adjective
inadvertent|General|adjective
inception|General|noun
incite|General|verb
incoherent|General|adjective
incongruity|General|noun
indispensable|General|adjective
ineptitude|General|noun
inert|General|adjective
infallible|General|adjective
inherent|General|adjective
innate|General|adjective
innocuous|General|adjective
insidious|General|adjective
insolvent|General|adjective
instigate|General|verb
intangible|General|adjective
interpolate|General|verb
intricate|General|adjective
intrinsic|General|adjective
inundate|General|verb
invoke|General|verb
irrevocable|General|adjective
juxtapose|General|verb
latent|General|adjective
laudable|General|adjective
lenient|General|adjective
liaison|General|noun
lucrative|General|adjective
malleable|General|adjective
mandate|General|noun
mitigate|General|verb
mundane|General|adjective
negate|General|verb
negligible|General|adjective
nepotism|General|noun
notorious|General|adjective
objective|General|adjective
obsolete|General|adjective
opaque|General|adjective
ostensible|General|adjective
oversight|General|noun
overt|General|adjective
paradigm|General|noun
patronize|General|verb
paucity|General|noun
pejorative|General|adjective
penchant|General|noun
perpetuate|General|verb
pertinent|General|adjective
pervasive|General|adjective
pinnacle|General|noun
pivotal|General|adjective
pluralism|General|noun
poignant|General|adjective
precarious|General|adjective
preconception|General|noun
predicament|General|noun
predisposition|General|noun
premise|General|noun
prerogative|General|noun
pristine|General|adjective
proactive|General|adjective
proficient|General|adjective
prolific|General|adjective
propagate|General|verb
propensity|General|noun
proponent|General|noun
prudent|General|adjective
purport|General|verb
quintessential|General|adjective
ramification|General|noun
rampant|General|adjective
rationale|General|noun
rebuke|General|noun
recourse|General|noun
redundant|General|adjective
refute|General|verb
remnant|General|noun
repercussion|General|noun
replenish|General|verb
reprehensible|General|adjective
repudiate|General|verb
requisite|General|adjective
resilience|General|noun
restitution|General|noun
retribution|General|noun
rigorous|General|adjective
rudimentary|General|adjective
sabotage|General|noun
sacrosanct|General|adjective
sagacious|General|adjective
salient|General|adjective
sanitary|General|adjective
scrupulous|General|adjective
semblance|General|noun
