# C2 - Proficiency Level Words (CEFR C2)
# Format: english|category|partOfSpeech
# Proficiency vocabulary - rare, literary, and specialized terms
# Rare & Literary Vocabulary
abrogate|General|verb
acrimonious|General|adjective
adjudicate|General|verb
adulation|General|noun
aegis|General|noun
aggrandize|General|verb
alchemy|General|noun
altercation|General|noun
anachronism|General|noun
anathema|General|noun
anecdotal|General|adjective
animosity|General|noun
antecedent|General|noun
antipathy|General|noun
antithesis|General|noun
aphorism|General|noun
apocryphal|General|adjective
apotheosis|General|noun
approbation|General|noun
archetype|General|noun
ascendancy|General|noun
ascetic|General|adjective
aspersion|General|noun
assiduous|General|adjective
atavism|General|noun
avarice|General|noun
axiom|General|noun
beguile|General|verb
bellicose|General|adjective
beneficent|General|adjective
besmirch|General|verb
bombastic|General|adjective
bucolic|General|adjective
byzantine|General|adjective
cabal|General|noun
cacophony|General|noun
calumny|General|noun
capitulation|General|noun
capricious|General|adjective
castigate|General|verb
cathartic|General|adjective
causality|General|noun
chimera|General|noun
circumlocution|General|noun
circumscribe|General|verb
cogent|General|adjective
cognizant|General|adjective
colloquial|General|adjective
commencement|General|noun
commiserate|General|verb
compendium|General|noun
complicity|General|noun
concomitant|General|adjective
condescend|General|verb
conflagration|General|noun
congenial|General|adjective
connivance|General|noun
consternation|General|noun
consummate|General|adjective
contentious|General|adjective
contrite|General|adjective
conundrum|General|noun
convivial|General|adjective
copious|General|adjective
corpulent|General|adjective
credence|General|noun
crepuscular|General|adjective
curmudgeon|General|noun
cursory|General|adjective
dearth|General|noun
debilitate|General|verb
decadence|General|noun
deference|General|noun
demagogue|General|noun
denigrate|General|verb
denouement|General|noun
depravity|General|noun
deride|General|verb
desultory|General|adjective
diatribe|General|noun
diffident|General|adjective
dilettante|General|noun
diminutive|General|adjective
disaffected|General|adjective
discordant|General|adjective
disseminate|General|verb
dissolution|General|noun
divergence|General|noun
docile|General|adjective
dogmatic|General|adjective
ebullient|General|adjective
edification|General|noun
effervescent|General|adjective
effrontery|General|noun
egregious|General|adjective
elegy|General|noun
elucidate|General|verb
emanate|General|verb
emolument|General|noun
enervate|General|verb
ennui|General|noun
ephemeral|General|adjective
epiphany|General|noun
equanimity|General|noun
equivocal|General|adjective
erudite|General|adjective
eschew|General|verb
esoteric|General|adjective
ethereal|General|adjective
eulogy|General|noun
evanescent|General|adjective
excoriate|General|verb
execrable|General|adjective
exegesis|General|noun
exigent|General|adjective
exculpate|General|verb
expatiate|General|verb
expiate|General|verb
expunge|General|verb
extemporaneous|General|adjective
extirpate|General|verb
facetious|General|adjective
fait accompli|General|noun
fallacious|General|adjective
fastidious|General|adjective
fecund|General|adjective
felicitous|General|adjective
feign|General|verb
fervid|General|adjective
fiasco|General|noun
filibuster|General|noun
flagitious|General|adjective
fledgling|General|noun
flippant|General|adjective
forbearance|General|noun
fractious|General|adjective
garrulous|General|adjective
gauche|General|adjective
grandiloquent|General|adjective
gratuitous|General|adjective
gregarious|General|adjective
hackneyed|General|adjective
harangue|General|noun
hedonism|General|noun
heretical|General|adjective
heterogeneous|General|adjective
hubris|General|noun
iconoclast|General|noun
idyllic|General|adjective
ignominious|General|adjective
imbroglio|General|noun
immutable|General|adjective
impecunious|General|adjective
imperious|General|adjective
imperturbable|General|adjective
impervious|General|adjective
impetuous|General|adjective
implacable|General|adjective
impugn|General|verb
inchoate|General|adjective
incipient|General|adjective
incorrigible|General|adjective
incredulous|General|adjective
indefatigable|General|adjective
indelible|General|adjective
indigenous|General|adjective
indolent|General|adjective
ineffable|General|adjective
inexorable|General|adjective
inimical|General|adjective
inscrutable|General|adjective
insipid|General|adjective
intractable|General|adjective
intrepid|General|adjective
inveterate|General|adjective
invincible|General|adjective
irascible|General|adjective
itinerant|General|adjective
jejune|General|adjective
judicious|General|adjective
laconic|General|adjective
languid|General|adjective
largesse|General|noun
lassitude|General|noun
lethargic|General|adjective
levity|General|noun
litigious|General|adjective
lugubrious|General|adjective
magnanimous|General|adjective
malfeasance|General|noun
malevolent|General|adjective
mendacious|General|adjective
mercurial|General|adjective
meritorious|General|adjective
metamorphosis|General|noun
milieu|General|noun
misanthrope|General|noun
moribund|General|adjective
munificent|General|adjective
nebulous|General|adjective
nefarious|General|adjective
nihilism|General|noun
nonchalant|General|adjective
obdurate|General|adjective
obfuscate|General|verb
oblique|General|adjective
oblivious|General|adjective
obsequious|General|adjective
obstreperous|General|adjective
onerous|General|adjective
opprobrium|General|noun
oscillation|General|noun
ostentatious|General|adjective
pablum|General|noun
palatable|General|adjective
palliate|General|verb
panacea|General|noun
panache|General|noun
pandemic|General|adjective
panoply|General|noun
paradoxical|General|adjective
paragon|General|noun
pariah|General|noun
parsimonious|General|adjective
pedantic|General|adjective
penchant|General|noun
perfidious|General|adjective
perfunctory|General|adjective
peremptory|General|adjective
pernicious|General|adjective
perspicacious|General|adjective
pertinacious|General|adjective
petulant|General|adjective
philistine|General|noun
placate|General|verb
platitude|General|noun
plethora|General|noun
polemic|General|noun
portentous|General|adjective
posterity|General|noun
precocious|General|adjective
prescient|General|adjective
presumptuous|General|adjective
prevaricate|General|verb
probity|General|noun
proclivity|General|noun
profligate|General|adjective
prognosticate|General|verb
propitious|General|adjective
proscribe|General|verb
proselytize|General|verb
provenance|General|noun
provincial|General|adjective
pugnacious|General|adjective
punctilious|General|adjective
quagmire|General|noun
quandary|General|noun
querulous|General|adjective
quixotic|General|adjective
raconteur|General|noun
rapacious|General|adjective
raucous|General|adjective
recalcitrant|General|adjective
recondite|General|adjective
recrimination|General|noun
redoubtable|General|adjective
refractory|General|adjective
remonstrate|General|verb
reprobate|General|noun
rescind|General|verb
resplendent|General|adjective
reticent|General|adjective
sacrilege|General|noun
salacious|General|adjective
sanguine|General|adjective
sardonic|General|adjective
scintillating|General|adjective
seditious|General|adjective
sibilant|General|adjective
soliloquy|General|noun
somnolent|General|adjective
sophistry|General|noun
spurious|General|adjective
stentorian|General|adjective
stoic|General|adjective
strident|General|adjective
sycophant|General|noun
taciturn|General|adjective
tautology|General|noun
temerity|General|noun
tendentious|General|adjective
torpid|General|adjective
transient|General|adjective
trenchant|General|adjective
truculent|General|adjective
turpitude|General|noun
umbrage|General|noun
unconscionable|General|adjective
vacillate|General|verb
vacuous|General|adjective
venal|General|adjective
venerate|General|verb
veracious|General|adjective
vitriolic|General|adjective
vituperate|General|verb
vociferous|General|adjective
watershed|General|noun
whet|General|verb
wistful|General|adjective
zeitgeist|General|noun
zenith|General|noun
# C2 Philosophy & Ethics
abstinence|General|noun
akrasia|General|noun
determinism|General|noun
dialectic|General|noun
empiricism|General|noun
epistemology|General|noun
existential|General|adjective
fatalism|General|noun
metaphysics|General|noun
ontology|General|noun
phenomenology|General|noun
pragmatism|General|noun
rationalism|General|noun
relativism|General|noun
solipsism|General|noun
stoicism|General|noun
teleology|General|noun
transcendence|General|noun
utilitarianism|General|noun
# C2 Specialized Science
allotrope|Science|noun
antimatter|Science|noun
baryon|Science|noun
biomass|Science|noun
biosynthesis|Science|noun
catalysis|Science|noun
centrifugal|Science|adjective
chromatography|Science|noun
covalent|Science|adjective
cytoplasm|Science|noun
electrolysis|Science|noun
entropy|Science|noun
epigenetics|Science|noun
hadron|Science|noun
heliocentric|Science|adjective
homeostasis|Science|noun
hydrolysis|Science|noun
isomer|Science|noun
mitosis|Science|noun
meiosis|Science|noun
nucleotide|Science|noun
osmosis|Science|noun
photovoltaic|Science|adjective
plasmid|Science|noun
polymerization|Science|noun
recombinant|Science|adjective
ribonucleic|Science|adjective
spectroscopy|Science|noun
stoichiometry|Science|noun
superconductor|Science|noun
thermodynamic|Science|adjective
valence|Science|noun
# C2 Advanced Legal
adjudication|Law|noun
amicus curiae|Law|noun
arbitration|Law|noun
brief|Law|noun
codification|Law|noun
contravention|Law|noun
deposition|Law|noun
eminent domain|Law|noun
estoppel|Law|noun
habeas corpus|Law|noun
injunction|Law|noun
jurisprudence|Law|noun
lien|Law|noun
mandamus|Law|noun
misfeasance|Law|noun
pro bono|Law|adverb
quid pro quo|Law|noun
stare decisis|Law|noun
tort|Law|noun
# C2 Advanced Finance
amortize|Finance|verb
annuitize|Finance|verb
arbitrageur|Finance|noun
collateralize|Finance|verb
contango|Finance|noun
debenture|Finance|noun
fiduciary duty|Finance|noun
hypothecate|Finance|verb
indemnify|Finance|verb
junk bond|Finance|noun
mezzanine|Finance|noun
securitize|Finance|verb
subordinated debt|Finance|noun
syndicate|Finance|noun
underwrite|Finance|verb
# IT & Development (Proficiency)
quantum computing|IT & Development|noun
homomorphic encryption|IT & Development|noun
formal verification|IT & Development|noun
consensus algorithm|IT & Development|noun
deterministic execution|IT & Development|noun
eventual consistency|IT & Development|noun
CAP theorem|IT & Development|noun
ACID compliance|IT & Development|noun
backpressure|IT & Development|noun
circuit breaker pattern|IT & Development|noun
# Business Analysis (Proficiency)
ontology modeling|Business Analysis|noun
epistemic analysis|Business Analysis|noun
systemic thinking|Business Analysis|noun
axiomatic design|Business Analysis|noun
morphological analysis|Business Analysis|noun
scenario planning|Business Analysis|noun
Delphic technique|Business Analysis|noun
nominal group technique|Business Analysis|noun
affinity diagramming|Business Analysis|noun
Kano model|Business Analysis|noun
# Project Management (Proficiency)
theory of constraints|Project Management|noun
agile at scale|Project Management|noun
SAFe framework|Project Management|noun
LeSS framework|Project Management|noun
servant leadership|Project Management|noun
adaptive project framework|Project Management|noun
extreme project management|Project Management|noun
value engineering|Project Management|noun
project portfolio optimization|Project Management|noun
strategic alignment|Project Management|noun

abecedarian|General|noun
abiogenesis|Science|noun
abnegation|General|noun
abscission|Science|noun
abstemious|General|adjective
abstruse|General|adjective
accretion|Science|noun
acephalous|General|adjective
acosmism|General|noun
acronym|General|noun
adumbrate|General|verb
aetiology|Health|noun
agglomerate|Science|verb
agonistes|General|noun
alacrity|General|noun
aleatoric|General|adjective
algorithmically|Technology|adverb
alienation|General|noun
allegory|General|noun
allusion|General|noun
altruism|General|noun
anachronistic|General|adjective
anagnorisis|General|noun
anarchism|General|noun
anchorite|General|noun
animism|General|noun
antinomy|General|noun
aplomb|General|noun
apogee|Science|noun
apparatchik|General|noun
appurtenance|General|noun
apprise|General|verb
apriorism|General|noun
arcane|General|adjective
archipelago|General|noun
argot|General|noun
assuage|General|verb
atrophy|Health|noun
august|General|adjective
autarky|General|noun
avaricious|General|adjective
aver|General|verb
axiomatic|General|adjective
balkanize|General|verb
banality|General|noun
baroque|General|adjective
bathos|General|noun
bellwether|Business & Finance|noun
beneficence|General|noun
benighted|General|adjective
bespoke|General|adjective
betray|General|verb
bildungsroman|General|noun
bimbo|General|noun
blas̩|General|adjective
blandishment|General|noun
bloviate|General|verb
bombast|General|noun
braggadocio|General|noun
bursar|Education|noun
cadre|General|noun
caesura|General|noun
casuistry|General|noun
catharsis|General|noun
cavil|General|verb
chauvinism|General|noun
chicanery|General|noun
chimerical|General|adjective
clandestine|General|adjective
clerisy|Education|noun
codify|General|verb
cognoscenti|General|noun
commensurate|General|adjective
conflate|General|verb
consanguinity|General|noun
contumacious|General|adjective
corroborate|General|verb
cosmopolitan|General|adjective
coterie|General|noun
countenance|General|noun
cronyism|General|noun
cryptic|General|adjective
demagoguery|General|noun
deontology|General|noun
dinouement|General|noun
dissonance|General|noun
doyen|General|noun
dyspeptic|General|adjective
ebullition|General|noun
ecclesiastical|General|adjective
echelon|General|noun
eclecticism|General|noun
enclave|General|noun
encomium|General|noun
endemic|General|adjective
epigram|General|noun
equipoise|General|noun
equivocation|General|noun
eschatology|General|noun
etiology|Health|noun
existentialism|General|noun
exponent|General|noun
expropriate|General|verb
extant|General|adjective
facile|General|adjective
fatuous|General|adjective
fiat|General|noun
figurative|General|adjective
finesse|General|noun
flaccid|General|adjective
flummox|General|verb
fomenter|General|noun
foreboding|General|noun
forensics|General|noun
fugacious|General|adjective
garrulity|General|noun
gauntlet|General|noun
germane|General|adjective
gesticulate|General|verb
glacial|General|adjective
glib|General|adjective
guile|General|noun
halcyon|General|adjective
harbinger|General|noun
heresy|General|noun
hermetic|General|adjective
heterodox|General|adjective
hierarchy|General|noun
historiography|General|noun
humility|General|noun
hypocritical|General|adjective
incendiary|General|adjective
incommensurable|General|adjective
incontrovertible|General|adjective
ineluctable|General|adjective
iniquitous|General|adjective
interstice|General|noun
ironic|General|adjective
juxtaposition|General|noun
kinesiology|Health|noun
leitmotif|General|noun
licentious|General|adjective
liminal|General|adjective
logos|General|noun
machiavellian|General|adjective
maladroit|General|adjective
malign|General|verb
maudlin|General|adjective
melancholy|General|noun
mendacity|General|noun
meticulous|General|adjective
mnemonic|Education|noun
multifarious|General|adjective
mundane|General|adjective
niggardly|General|adjective
noblesse oblige|General|phrase
nomenclature|Science|noun
nonpareil|General|adjective
nostalgic|General|adjective
obeisance|General|noun
odium|General|noun
ominous|General|adjective
omniscient|General|adjective
ostracize|General|verb
overwrought|General|adjective
panegyric|General|noun
paranoia|Health|noun
paternalistic|General|adjective
penury|General|noun
perfidy|General|noun
pervasive|General|adjective
pious|General|adjective
pontificate|General|verb
posit|General|verb
predilection|General|noun
primordial|General|adjective
promulgate|General|verb
puerile|General|adjective
pulchritudinous|General|adjective
pusillanimous|General|adjective
redolent|General|adjective
rejoinder|General|noun
relegate|General|verb
replete|General|adjective
rife|General|adjective
risible|General|adjective
salient|General|adjective
saturnine|General|adjective
schism|General|noun
shibboleth|General|noun
sinecure|Work & Career|noun
soporific|General|adjective
sophist|General|noun
sordid|General|adjective
specious|General|adjective
subsumed|General|verb
sui generis|General|phrase
supercilious|General|adjective
sycophantic|General|adjective
synecdoche|General|noun
torpor|General|noun
tortuous|General|adjective
trite|General|adjective
troglodyte|General|noun
unctuous|General|adjective
usurp|General|verb
vainglory|General|noun
vapid|General|adjective
venality|General|noun
veracity|General|noun
vicissitude|General|noun
vindictive|General|adjective
vocation|Work & Career|noun
voluble|General|adjective
voracious|General|adjective
wanton|General|adjective
weltanschauung|General|noun
winsome|General|adjective
zealotry|General|noun

abeyance|General|noun
aberration|General|noun
acedia|General|noun
acrimony|General|noun
adumbration|General|noun
afflatus|General|noun
agitprop|General|noun
agonistic|General|adjective
allay|General|verb
ambages|General|noun
ambiguity|General|noun
ameliorate|General|verb
amorphous|General|adjective
analeptic|Health|adjective
anathematize|General|verb
